date,url,lang,polarity,magnitude,score,name,type,mid,wikipediaUrl,numMentions,avgSalience,coordinates,row_number
4/8/2020 15:32:48,https://www.welt.de/politik/ausland/plus207129037/Polen-Hat-man-die-Corona-App-klingelt-jeden-Tag-die-Polizei.html,de,0,2.2,-0.5,Haus,LOCATION,,,1,0.028357,"47.40997,13.76724",1
4/8/2020 8:35:36,https://www.swr.de/swraktuell/baden-wuerttemberg/mannheim/vgh-corona-100.html,de,0,9.4,-0.5,Kirchen,LOCATION,,,1,0.084973,"50.80849,7.88634",1
4/8/2020 18:33:58,"https://winfuture.de/news,115189.html",de,0,7.3,-0.3,Haus,LOCATION,,,1,0.086667,"47.40997,13.76724",1
4/8/2020 2:47:07,https://www.dw.com/de/ronaldinho-gegen-kaution-nun-im-hausarrest/a-53055330,de,0,7.8,-0.3,Haus,LOCATION,,,1,0.002795,"47.40997,13.76724",1
4/8/2020 19:01:41,https://www.suedtirolnews.it/wirtschaft/corona-und-studiumneutrales-semester-noetig,de,0,8.5,-0.3,Haus,LOCATION,,,1,0.044978,"47.40997,13.76724",1
4/8/2020 9:50:10,https://www.come-on.de/lennetal/plettenberg/plettenberg-hestenbergtunnel-gesperrt-13644973.html,de,0,4.8,-0.3,Berg,LOCATION,,,1,0.017172,"50.55523,6.94886",1
4/8/2020 12:05:11,"https://zofingertagblatt.ch/?id=286101&%25C3%25B6V-Branche+beschliesst+15+Kulanztage+f%25C3%25BCr+GA,+Verbund-+und+Streckenabos",de,0,5.1,-0.5,GA,LOCATION,,,1,0.002986,"-1.63333,13.58357",1
4/8/2020 6:46:39,https://apps.derstandard.at/privacywall/story/2000116624281/thuer-statt-wolf-in-orf-isolation-kritischer-journalismus-ist-auch,de,0,1.7,-0.3,Thür,LOCATION,,,1,0.008962,"50.35692,7.27689",1
4/8/2020 6:19:07,https://www.welt.de/regionales/bayern/article207107999/Nach-Unfall-21-Jaehriger-Autofahrer-fluechtet-zu-Fuss.html,de,0,2.7,-0.5,Graben,LOCATION,,,1,0.022262,"48.18732,10.82222",1
4/8/2020 8:18:08,https://www.weltfussball.at/news/_n4018060_/ronaldinho-unter-hausarrest-gestellt/,de,0,3,-0.3,Assis,LOCATION,/m/03ykdy,https://en.wikipedia.org/wiki/Assis,1,0.00266,"-22.66167,-50.41222",1
4/8/2020 6:33:54,https://www.skysportaustria.at/ronaldinho-und-sein-bruder-unter-hausarrest-gestellt/,de,0,2.9,-0.3,Assis,LOCATION,/m/03ykdy,https://en.wikipedia.org/wiki/Assis,1,0.003434,"-22.66167,-50.41222",1
4/8/2020 17:49:37,https://www.bergedorfer-zeitung.de/ueberregionales/vermischtes/article228879595/Bruecke-in-Italien-eingestuerzt-ein-Mensch-verletzt.html,de,0,4.3,-0.3,Aulla,LOCATION,/m/0fytj5,https://en.wikipedia.org/wiki/Aulla,1,0.009512,"44.20632,9.97853",1
4/8/2020 10:06:28,https://www.heute.at/s/selbst-einfache-masken-halten-coronaviren-zuruck-53049437,de,0,6.8,-0.3,China,LOCATION,/m/0d05w3,https://en.wikipedia.org/wiki/China,1,0.003349,"37.14071,79.83509",1
9/6/2022 15:32:56,https://www.sueddeutsche.de/wirtschaft/inflation-konjunktur-weltwirtschaft-notenbanken-1.5652034,de,0,0.3,-0.3,China,LOCATION,/m/0d05w3,https://en.wikipedia.org/wiki/China,1,0.030521,"38.42457,100.7926",1
